epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.808,0.93451,2.38623,1.14587,0.14054,0.52972,0.21758,0.16352,0.92699,2.02533,1.04857,0.000332579,0.000332579,0.0670747
2,300.166,0.86663,2.00766,1.08726,0.32519,0.45605,0.26014,0.19483,0.94272,2.0152,1.06288,0.000652727,0.000652727,0.0340615
3,446.213,0.85164,1.81536,1.07296,0.24965,0.59516,0.32517,0.25338,0.82112,1.63862,0.99017,0.000959676,0.000959676,0.00103509
4,590.552,0.8099,1.73282,1.05862,0.35356,0.42474,0.37688,0.28874,0.81462,1.52393,0.97768,0.0009406,0.0009406,0.0009406
5,732.065,0.77335,1.67047,1.03564,0.35956,0.57773,0.37922,0.29648,0.7862,1.46303,0.97901,0.0009208,0.0009208,0.0009208
6,873.931,0.74863,1.58705,1.02232,0.41477,0.49646,0.4093,0.32099,0.77917,1.4237,0.96688,0.000901,0.000901,0.000901
7,1015.49,0.72248,1.54122,1.02385,0.38547,0.55976,0.44578,0.35467,0.73802,1.33707,0.93662,0.0008812,0.0008812,0.0008812
8,1156.66,0.73454,1.48787,1.01687,0.37845,0.57223,0.45812,0.36425,0.76368,1.32668,0.95687,0.0008614,0.0008614,0.0008614
9,1298.44,0.70464,1.45003,1.00946,0.42277,0.60992,0.49162,0.39363,0.74533,1.26629,0.95443,0.0008416,0.0008416,0.0008416
10,1440.04,0.69139,1.40382,0.99891,0.49865,0.62902,0.54977,0.44571,0.72066,1.15924,0.93695,0.0008218,0.0008218,0.0008218
11,1582.39,0.69575,1.34105,1.00404,0.59217,0.6192,0.59883,0.49374,0.71242,1.0836,0.92768,0.000802,0.000802,0.000802
12,1723.79,0.68182,1.28343,0.99918,0.58962,0.72063,0.6823,0.56318,0.72799,0.95387,0.93592,0.0007822,0.0007822,0.0007822
13,1865.15,0.67138,1.17867,0.9952,0.68916,0.69064,0.73576,0.60173,0.72298,0.86148,0.94026,0.0007624,0.0007624,0.0007624
14,2006.5,0.66171,1.10017,0.99303,0.72757,0.77075,0.78053,0.65377,0.71923,0.77944,0.92772,0.0007426,0.0007426,0.0007426
15,2147.71,0.65623,1.05576,0.98904,0.85481,0.72564,0.82305,0.6786,0.70584,0.70163,0.93271,0.0007228,0.0007228,0.0007228
16,2288.88,0.65247,1.00795,0.98175,0.82568,0.72027,0.8274,0.68938,0.71152,0.71152,0.9305,0.000703,0.000703,0.000703
17,2433.38,0.64804,0.97702,0.98564,0.83215,0.8025,0.8683,0.73009,0.68283,0.6149,0.91939,0.0006832,0.0006832,0.0006832
18,2576.86,0.63556,0.91926,0.98096,0.8464,0.79917,0.87409,0.73341,0.6772,0.59547,0.91724,0.0006634,0.0006634,0.0006634
19,2718.48,0.64396,0.9217,0.98584,0.86539,0.80864,0.88015,0.73915,0.67708,0.5701,0.91421,0.0006436,0.0006436,0.0006436
20,2860.28,0.63372,0.86155,0.97364,0.86107,0.83244,0.88883,0.74845,0.67674,0.55868,0.91396,0.0006238,0.0006238,0.0006238
21,3001.91,0.6323,0.84399,0.97749,0.88498,0.80377,0.88657,0.73694,0.68112,0.53546,0.91398,0.000604,0.000604,0.000604
22,3142.9,0.62341,0.83628,0.97371,0.87309,0.85021,0.90531,0.76116,0.66361,0.51954,0.91798,0.0005842,0.0005842,0.0005842
23,3284.61,0.60054,0.80057,0.96532,0.92953,0.80393,0.89549,0.75567,0.64598,0.5098,0.90495,0.0005644,0.0005644,0.0005644
24,3425.91,0.61771,0.77397,0.97249,0.9298,0.81024,0.88898,0.75114,0.67112,0.49547,0.90832,0.0005446,0.0005446,0.0005446
25,3567.11,0.60976,0.76793,0.96634,0.93516,0.84767,0.92715,0.77751,0.66916,0.47904,0.91635,0.0005248,0.0005248,0.0005248
26,3708.87,0.59934,0.74602,0.95987,0.92709,0.8812,0.93076,0.78534,0.65001,0.46544,0.91003,0.000505,0.000505,0.000505
27,3850.56,0.59719,0.74203,0.96234,0.94159,0.83315,0.92088,0.78019,0.65045,0.47898,0.9086,0.0004852,0.0004852,0.0004852
28,3991.94,0.58309,0.73363,0.96159,0.94822,0.8491,0.93083,0.79156,0.63464,0.44104,0.89761,0.0004654,0.0004654,0.0004654
29,4138.08,0.58329,0.70402,0.95163,0.92656,0.86909,0.93679,0.78912,0.65702,0.44325,0.90403,0.0004456,0.0004456,0.0004456
30,4283.41,0.57782,0.70972,0.95815,0.94804,0.88235,0.93975,0.79856,0.63576,0.42122,0.90131,0.0004258,0.0004258,0.0004258
31,4427.99,0.57307,0.68623,0.95611,0.94745,0.88923,0.94416,0.79378,0.65493,0.42628,0.90685,0.000406,0.000406,0.000406
32,4569.33,0.57893,0.67886,0.9574,0.93177,0.87879,0.93922,0.79584,0.64601,0.42192,0.89611,0.0003862,0.0003862,0.0003862
33,4710.39,0.56571,0.66213,0.95051,0.94554,0.87326,0.94425,0.80214,0.63631,0.38461,0.89455,0.0003664,0.0003664,0.0003664
34,4851.96,0.55263,0.64271,0.94879,0.93165,0.89289,0.94472,0.8072,0.63105,0.38619,0.89466,0.0003466,0.0003466,0.0003466
35,4993.65,0.55591,0.646,0.94447,0.95474,0.87688,0.94808,0.80703,0.62514,0.38232,0.89114,0.0003268,0.0003268,0.0003268
36,5134.91,0.55428,0.62417,0.94409,0.9363,0.89845,0.95216,0.80856,0.62615,0.38758,0.88945,0.000307,0.000307,0.000307
37,5276.29,0.5466,0.62886,0.93977,0.95103,0.8855,0.94809,0.80914,0.62525,0.37028,0.88872,0.0002872,0.0002872,0.0002872
38,5417.58,0.54307,0.60154,0.939,0.95482,0.88359,0.95204,0.8093,0.61537,0.36521,0.89503,0.0002674,0.0002674,0.0002674
39,5558.82,0.55498,0.59175,0.94005,0.95201,0.88656,0.94912,0.81728,0.61156,0.36557,0.88515,0.0002476,0.0002476,0.0002476
40,5700.21,0.53019,0.58759,0.93498,0.95573,0.88477,0.95263,0.81501,0.60045,0.35501,0.88555,0.0002278,0.0002278,0.0002278
